Technologies,Hours,Availability
wind_off,1,0.7998
ror,1,0.506106465
pv_ea,1,0.0
pv_ne,1,0.0
pv_nw,1,0.0
pv_we,1,0.0
pv_sw,1,0.0
pv_se,1,0.0
wind_ea,1,0.1453125
wind_ne,1,0.233225806
wind_nw,1,0.201866667
wind_we,1,0.112587413
wind_sw,1,0.036813187
wind_se,1,0.075454545
wind_off,2,0.7986
ror,2,0.506106465
pv_ea,2,0.0
pv_ne,2,0.0
pv_nw,2,0.0
pv_we,2,0.0
pv_sw,2,0.0
pv_se,2,0.0
wind_ea,2,0.1503125
wind_ne,2,0.236774194
wind_nw,2,0.213733333
wind_we,2,0.115944056
wind_sw,2,0.037362637
wind_se,2,0.0725
wind_off,3,0.7988
ror,3,0.506106465
pv_ea,3,0.0
pv_ne,3,0.0
pv_nw,3,0.0
pv_we,3,0.0
pv_sw,3,0.0
pv_se,3,0.0
wind_ea,3,0.16125
wind_ne,3,0.250967742
wind_nw,3,0.221333333
wind_we,3,0.11951049
wind_sw,3,0.037142857
wind_se,3,0.069318182
wind_off,4,0.7985
ror,4,0.506106465
pv_ea,4,0.0
pv_ne,4,0.0
pv_nw,4,0.0
pv_we,4,0.0
pv_sw,4,0.0
pv_se,4,0.0
wind_ea,4,0.1678125
wind_ne,4,0.257096774
wind_nw,4,0.2344
wind_we,4,0.123426573
wind_sw,4,0.037362637
wind_se,4,0.0675
wind_off,5,0.7963
ror,5,0.506106465
pv_ea,5,0.0
pv_ne,5,0.0
pv_nw,5,0.0
pv_we,5,0.0
pv_sw,5,0.0
pv_se,5,0.0
wind_ea,5,0.16625
wind_ne,5,0.248064516
wind_nw,5,0.245066667
wind_we,5,0.127902098
wind_sw,5,0.034835165
wind_se,5,0.066363636
wind_off,6,0.7717
ror,6,0.506106465
pv_ea,6,0.0
pv_ne,6,0.0
pv_nw,6,0.0
pv_we,6,0.0
pv_sw,6,0.0
pv_se,6,0.0
wind_ea,6,0.161875
wind_ne,6,0.250967742
wind_nw,6,0.257066667
wind_we,6,0.135664336
wind_sw,6,0.032307692
wind_se,6,0.062727273
wind_off,7,0.698
ror,7,0.506106465
pv_ea,7,0.0
pv_ne,7,0.0
pv_nw,7,0.0
pv_we,7,0.0
pv_sw,7,0.0
pv_se,7,0.0
wind_ea,7,0.154375
wind_ne,7,0.237419355
wind_nw,7,0.2664
wind_we,7,0.147972028
wind_sw,7,0.027252747
wind_se,7,0.055681818
wind_off,8,0.6441
ror,8,0.506106465
pv_ea,8,0.0
pv_ne,8,0.0
pv_nw,8,0.0
pv_we,8,0.0
pv_sw,8,0.0
pv_se,8,0.0
wind_ea,8,0.16
wind_ne,8,0.238709677
wind_nw,8,0.280933333
wind_we,8,0.148601399
wind_sw,8,0.027912088
wind_se,8,0.046136364
wind_off,9,0.6307
ror,9,0.506106465
pv_ea,9,0.0
pv_ne,9,0.0
pv_nw,9,0.0
pv_we,9,0.0
pv_sw,9,0.0
pv_se,9,0.0
wind_ea,9,0.1690625
wind_ne,9,0.250322581
wind_nw,9,0.287066667
wind_we,9,0.157832168
wind_sw,9,0.036923077
wind_se,9,0.044090909
wind_off,10,0.5587
ror,10,0.506106465
pv_ea,10,0.03
pv_ne,10,0.03
pv_nw,10,0.026
pv_we,10,0.025
pv_sw,10,0.02
pv_se,10,0.01
wind_ea,10,0.1721875
wind_ne,10,0.262903226
wind_nw,10,0.306933333
wind_we,10,0.17020979
wind_sw,10,0.05010989
wind_se,10,0.042954545
wind_off,11,0.5254
ror,11,0.506106465
pv_ea,11,0.09
pv_ne,11,0.09
pv_nw,11,0.064
pv_we,11,0.0625
pv_sw,11,0.045
pv_se,11,0.03
wind_ea,11,0.1621875
wind_ne,11,0.275806452
wind_nw,11,0.341466667
wind_we,11,0.17965035
wind_sw,11,0.03989011
wind_se,11,0.037272727
wind_off,12,0.4726
ror,12,0.506106465
pv_ea,12,0.16
pv_ne,12,0.16
pv_nw,12,0.102
pv_we,12,0.09
pv_sw,12,0.0675
pv_se,12,0.04
wind_ea,12,0.1615625
wind_ne,12,0.272580645
wind_nw,12,0.317733333
wind_we,12,0.18006993
wind_sw,12,0.026593407
wind_se,12,0.031136364
wind_off,13,0.3454
ror,13,0.506106465
pv_ea,13,0.2
pv_ne,13,0.2
pv_nw,13,0.12
pv_we,13,0.1175
pv_sw,13,0.0775
pv_se,13,0.056666667
wind_ea,13,0.17125
wind_ne,13,0.268064516
wind_nw,13,0.308266667
wind_we,13,0.194825175
wind_sw,13,0.028791209
wind_se,13,0.027954545
wind_off,14,0.1901
ror,14,0.506106465
pv_ea,14,0.17
pv_ne,14,0.17
pv_nw,14,0.102
pv_we,14,0.0925
pv_sw,14,0.0625
pv_se,14,0.046666667
wind_ea,14,0.184375
wind_ne,14,0.254193548
wind_nw,14,0.3204
wind_we,14,0.206433566
wind_sw,14,0.04032967
wind_se,14,0.033409091
wind_off,15,0.1085
ror,15,0.506106465
pv_ea,15,0.1
pv_ne,15,0.1
pv_nw,15,0.066
pv_we,15,0.075
pv_sw,15,0.0425
pv_se,15,0.033333333
wind_ea,15,0.2090625
wind_ne,15,0.282580645
wind_nw,15,0.334
wind_we,15,0.223216783
wind_sw,15,0.059340659
wind_se,15,0.038863636
wind_off,16,0.1274
ror,16,0.506106465
pv_ea,16,0.02
pv_ne,16,0.02
pv_nw,16,0.018
pv_we,16,0.03
pv_sw,16,0.0175
pv_se,16,0.016666667
wind_ea,16,0.2596875
wind_ne,16,0.315806452
wind_nw,16,0.358933333
wind_we,16,0.256153846
wind_sw,16,0.074175824
wind_se,16,0.036818182
wind_off,17,0.1442
ror,17,0.506106465
pv_ea,17,0.0
pv_ne,17,0.0
pv_nw,17,0.0
pv_we,17,0.0
pv_sw,17,0.0
pv_se,17,0.0
wind_ea,17,0.288125
wind_ne,17,0.333225806
wind_nw,17,0.3852
wind_we,17,0.308181818
wind_sw,17,0.105054945
wind_se,17,0.051363636
wind_off,18,0.183
ror,18,0.506106465
pv_ea,18,0.0
pv_ne,18,0.0
pv_nw,18,0.0
pv_we,18,0.0
pv_sw,18,0.0
pv_se,18,0.0
wind_ea,18,0.2828125
wind_ne,18,0.33516129
wind_nw,18,0.4068
wind_we,18,0.337412587
wind_sw,18,0.121428571
wind_se,18,0.081818182
wind_off,19,0.2252
ror,19,0.506106465
pv_ea,19,0.0
pv_ne,19,0.0
pv_nw,19,0.0
pv_we,19,0.0
pv_sw,19,0.0
pv_se,19,0.0
wind_ea,19,0.285625
wind_ne,19,0.342258065
wind_nw,19,0.4336
wind_we,19,0.347272727
wind_sw,19,0.11956044
wind_se,19,0.095227273
wind_off,20,0.3832
ror,20,0.506106465
pv_ea,20,0.0
pv_ne,20,0.0
pv_nw,20,0.0
pv_we,20,0.0
pv_sw,20,0.0
pv_se,20,0.0
wind_ea,20,0.2996875
wind_ne,20,0.350967742
wind_nw,20,0.472133333
wind_we,20,0.362797203
wind_sw,20,0.12021978
wind_se,20,0.092272727
wind_off,21,0.4796
ror,21,0.506106465
pv_ea,21,0.0
pv_ne,21,0.0
pv_nw,21,0.0
pv_we,21,0.0
pv_sw,21,0.0
pv_se,21,0.0
wind_ea,21,0.3171875
wind_ne,21,0.372580645
wind_nw,21,0.521466667
wind_we,21,0.377202797
wind_sw,21,0.127912088
wind_se,21,0.085681818
wind_off,22,0.5925
ror,22,0.506106465
pv_ea,22,0.0
pv_ne,22,0.0
pv_nw,22,0.0
pv_we,22,0.0
pv_sw,22,0.0
pv_se,22,0.0
wind_ea,22,0.335
wind_ne,22,0.398387097
wind_nw,22,0.5684
wind_we,22,0.389160839
wind_sw,22,0.141318681
wind_se,22,0.087045455
wind_off,23,0.657
ror,23,0.506106465
pv_ea,23,0.0
pv_ne,23,0.0
pv_nw,23,0.0
pv_we,23,0.0
pv_sw,23,0.0
pv_se,23,0.0
wind_ea,23,0.3509375
wind_ne,23,0.416451613
wind_nw,23,0.6072
wind_we,23,0.4
wind_sw,23,0.154615385
wind_se,23,0.092954545
wind_off,24,0.7166
ror,24,0.506106465
pv_ea,24,0.0
pv_ne,24,0.0
pv_nw,24,0.0
pv_we,24,0.0
pv_sw,24,0.0
pv_se,24,0.0
wind_ea,24,0.3725
wind_ne,24,0.437741935
wind_nw,24,0.6352
wind_we,24,0.423636364
wind_sw,24,0.172637363
wind_se,24,0.1175
wind_off,25,0.7248
ror,25,0.506106465
pv_ea,25,0.0
pv_ne,25,0.0
pv_nw,25,0.0
pv_we,25,0.0
pv_sw,25,0.0
pv_se,25,0.0
wind_ea,25,0.3946875
wind_ne,25,0.456774194
wind_nw,25,0.6616
wind_we,25,0.444965035
wind_sw,25,0.187032967
wind_se,25,0.135227273
wind_off,26,0.6418
ror,26,0.506106465
pv_ea,26,0.0
pv_ne,26,0.0
pv_nw,26,0.0
pv_we,26,0.0
pv_sw,26,0.0
pv_se,26,0.0
wind_ea,26,0.418125
wind_ne,26,0.47516129
wind_nw,26,0.684933333
wind_we,26,0.46958042
wind_sw,26,0.200769231
wind_se,26,0.145227273
wind_off,27,0.5806
ror,27,0.506106465
pv_ea,27,0.0
pv_ne,27,0.0
pv_nw,27,0.0
pv_we,27,0.0
pv_sw,27,0.0
pv_se,27,0.0
