Load,Hours
38075.9637,1
36780.97211,2
35735.84357,3
34856.23518,4
34508.68811,5
34304.27525,6
34298.84836,7
35404.57717,8
36081.12944,9
37642.717,10
39668.52975,11
41794.28774,12
43013.30287,13
42215.55006,14
41536.05823,15
41920.2368,16
43623.14962,17
46701.55289,18
46406.23963,19
45348.67447,20
42593.84951,21
40866.28957,22
44649.51016,23
42029.67908,24
40674.53946,25
38519.83807,26
37462.49903,27
36822.35215,28
36494.92979,29
35791.92144,30
34735.93912,31
36566.15772,32
39382.71356,33
42671.18269,34
45027.13125,35
47293.08388,36
46773.6853,37
45123.0063,38
43866.45518,39
43476.62359,40
44023.83498,41
47689.9252,42
50253.4523,43
49513.36019,44
47374.26111,45
46157.05494,46
46730.4963,47
44744.70685,48
44370.92981,49
42471.97061,50
41392.92401,51
41179.24022,52
41349.73501,53
40960.58178,54
40687.2022,55
41717.4068,56
44240.45834,57
47691.28192,58
49806.63836,59
51769.58965,60
51683.66389,61
50095.39413,62
48805.37719,63
47753.91728,64
47046.83875,65
48240.30228,66
51458.90021,67
50697.32666,68
49304.19881,69
48229.22238,70
48333.01165,71
45523.23943,72
46371.64321,73
44306.03326,74
43733.27026,75
44028.58351,76
44945.50178,77
48031.59314,78
53200.25349,79
57898.58338,80
61025.37642,81
63372.05404,82
64526.85098,83
65931.28485,84
65015.04494,85
63489.18441,86
63415.46916,87
62276.04841,88
60911.63785,89
59521.22345,90
58635.5098,91
58808.49191,92
58435.61935,93
54480.54725,94
52121.43301,95
47707.33647,96
38478.00579,97
36561.63531,98
35270.26165,99
35083.71231,100
34995.97759,101
34380.47783,102
32702.89051,103
34405.80332,104
37058.19573,105
40307.09379,106
42064.95387,107
43784.82571,108
42924.21143,109
41358.10146,110
40225.01209,111
39235.05693,112
38922.10628,113
39638.90798,114
40413.14427,115
40374.92992,116
40129.81539,117
40609.19066,118
39574.46366,119
36623.14006,120
36096.73175,121
34445.60051,122
33711.83978,123
33627.49686,124
34505.07018,125
37989.58571,126
45030.52305,127
50438.41879,128
