Technologies,InvestmentCost,MarginalCost,Efficiency,FixedCost,MaxInstallable,MaxEnergy
lig,115850.93947350487,82.61627906976744,0.43,30000,1000000000.0,1000000000000000.0
hc,100404.14754370422,73.42391304347827,0.46,30000,1000000000.0,1000000000000000.0
CCGT,68648.41377653248,71.625,0.6,20000,1000000000.0,1000000000000000.0
OCGT,34324.20688826624,107.43749999999999,0.4,15000,1000000000.0,1000000000000000.0
oil,34324.20688826624,182.375,0.4,6960,1000000000.0,1000000000000000.0
wind_off,179601.4125428531,0.0,1.0,80000,75000.0,1000000000000000.0
pv_sw,36469.469818782876,0.0,1.0,6375,36500.0,1000000000000000.0
pv_nw,36469.469818782876,0.0,1.0,6375,43900.0,1000000000000000.0
pv_we,36469.469818782876,0.0,1.0,6375,53400.0,1000000000000000.0
pv_ea,36469.469818782876,0.0,1.0,6375,29300.0,1000000000000000.0
pv_ne,36469.469818782876,0.0,1.0,6375,45200.0,1000000000000000.0
pv_se,36469.469818782876,0.0,1.0,6375,21100.0,1000000000000000.0
wind_sw,92246.30601221551,0.0,1.0,21500,34000.0,1000000000000000.0
wind_nw,92246.30601221551,0.0,1.0,21500,41600.0,1000000000000000.0
wind_we,92246.30601221551,0.0,1.0,21500,43900.0,1000000000000000.0
wind_ea,92246.30601221551,0.0,1.0,21500,33500.0,1000000000000000.0
wind_ne,92246.30601221551,0.0,1.0,21500,58600.0,1000000000000000.0
wind_se,92246.30601221551,0.0,1.0,21500,24400.0,1000000000000000.0
